dataset,score_cost_multiplier,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,pending_excluded_mean,pending_excluded_std,charged_compute_sec_mean,charged_compute_sec_std,total_budget_sec_mean,total_budget_sec_std,sis_score_sec_mean,sis_sort_sec_mean,score_deletion_equivalent_mean,exclusion_count_mean,eligible_count_mean
Criteo Attribution,30.0,10.0,SIS-filtered random,-0.01981753017853911,0.01752872943968896,0.19994350198041838,2.3831255261955936e-08,0.6,0.49827287912243995,19999.0,0.0,0.030888445546166664,0.0022095471367068915,0.03224888966666666,0.0017796017951167188,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,25.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.034218861111499986,0.007243716401997733,0.08062222416666667,0.004449004487791794,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,50.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.034218861111499986,0.007243716401997733,0.16124444833333335,0.008898008975583589,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,75.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.034218861111499986,0.007243716401997733,0.2418666725,0.013347013463375383,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,100.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.034218861111499986,0.007243716401997733,0.3224888966666667,0.017796017951167177,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,10.0,Random,0.03488941750823725,0.11713365479131763,0.19994353407182816,3.537461397312552e-07,2000.0,0.0,0.0,0.0,0.03224888966666666,0.0017796017951167188,0.03224888966666666,0.0017796017951167188,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,25.0,Random,0.1826398102125765,0.18932186062400466,0.1999435457242412,5.205812582922906e-07,5000.0,0.0,0.0,0.0,0.08062222416666667,0.004449004487791794,0.08062222416666667,0.004449004487791794,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,50.0,Random,0.4364742630009015,0.1538672814020472,0.1999437111655909,4.6457905800615917e-07,10000.0,0.0,0.0,0.0,0.16124444833333335,0.008898008975583589,0.16124444833333335,0.008898008975583589,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,75.0,Random,0.747908716290685,0.067402842035671,0.19994374202064433,5.03904418741471e-07,15000.0,0.0,0.0,0.0,0.2418666725,0.013347013463375383,0.2418666725,0.013347013463375383,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
Criteo Attribution,30.0,100.0,Random,1.0,0.0,0.19994390288045916,3.647606443908417e-07,20000.0,0.0,0.0,0.0,0.3224888966666667,0.017796017951167177,0.3224888966666667,0.017796017951167177,0.03278619666666668,0.00141654,2113.9620261896407,19999.0,1.0
