dataset,score_cost_multiplier,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,pending_excluded_mean,pending_excluded_std,charged_compute_sec_mean,charged_compute_sec_std,total_budget_sec_mean,total_budget_sec_std,exclusion_count_mean,exclusion_count_std,eligible_count_mean,score_sec_mean,sort_sec_mean,priority_cost_sec_mean,score_deletion_equivalent_mean
Criteo Attribution,5.0,10.0,SIS-filtered,0.01583929346115827,0.04043199219835965,0.19994360480525447,1.4951911679954008e-07,49.06666666666667,90.82834637791844,10213.2,796.8607545041765,0.03118105659183333,0.0005538570307465013,0.031184824999999996,0.0005522976785977677,10213.2,796.8607545041765,9786.8,0.03044409,0.0014089733333333336,0.03185306333333334,2042.7418987881938
Criteo Attribution,5.0,25.0,SIS-filtered,-0.7524158692771863,0.3904396044098492,0.1999487793485582,7.46107309843456e-07,2956.766666666667,159.28367306710106,10213.2,796.8607545041765,0.07795443102516668,0.0013825022124525812,0.07796206250000001,0.00138074419649442,10213.2,796.8607545041765,9786.8,0.03044409,0.0014089733333333336,0.03185306333333334,2042.7418987881938
Criteo Attribution,5.0,50.0,SIS-filtered,-8.009896548362327,2.6408153982077516,0.19995886712464792,2.4040859277314996e-06,7956.766666666666,159.28367306710103,10213.2,796.8607545041765,0.15591649352516665,0.0027632432196758577,0.15592412500000002,0.00276148839298884,10213.2,796.8607545041765,9786.8,0.03044409,0.0014089733333333336,0.03185306333333334,2042.7418987881938
Criteo Attribution,5.0,75.0,SIS-filtered,-12.277828240891951,2.982433549484186,0.19996257130257178,1.7861121822687757e-06,9786.8,796.8607545041765,10213.2,796.8607545041765,0.18444395419333334,0.01043561117664019,0.23388618749999995,0.004142232589483261,10213.2,796.8607545041765,9786.8,0.03044409,0.0014089733333333336,0.03185306333333334,2042.7418987881938
Criteo Attribution,5.0,100.0,SIS-filtered,-12.277828240891951,2.982433549484186,0.19996257130257178,1.7861121822687757e-06,9786.8,796.8607545041765,10213.2,796.8607545041765,0.18444395419333334,0.01043561117664019,0.31184825000000005,0.00552297678597768,10213.2,796.8607545041765,9786.8,0.03044409,0.0014089733333333336,0.03185306333333334,2042.7418987881938
Criteo Attribution,5.0,10.0,Cook's-filtered,0.00712259915184017,0.03247176754838529,0.19994363261577686,1.5399571466996912e-07,67.56666666666666,110.52123632207937,10094.366666666667,979.920668264505,0.031180434234666665,0.0005518842005782299,0.031184824999999996,0.0005522976785977677,10094.366666666667,979.920668264505,9905.633333333333,0.03013306666666667,0.0013553500000000002,0.03148841666666667,2018.9741128005514
Criteo Attribution,5.0,25.0,Cook's-filtered,-1.0548175297116804,0.45309077095045586,0.19994848136737628,8.670834998501045e-07,2980.4333333333334,195.92551071038818,10094.366666666667,979.920668264505,0.07795283072466667,0.0013810623022930061,0.07796206250000001,0.00138074419649442,10094.366666666667,979.920668264505,9905.633333333333,0.03013306666666667,0.0013553500000000002,0.03148841666666667,2018.9741128005514
Criteo Attribution,5.0,50.0,Cook's-filtered,-8.743683924162456,3.8189236813727314,0.19995788718867555,2.9822963875377418e-06,7980.433333333333,195.92551071038818,10094.366666666667,979.920668264505,0.15591489322466667,0.0027618034220281973,0.15592412500000002,0.00276148839298884,10094.366666666667,979.920668264505,9905.633333333333,0.03013306666666667,0.0013553500000000002,0.03148841666666667,2018.9741128005514
Criteo Attribution,5.0,75.0,Cook's-filtered,-13.070665351096341,3.6746123208186163,0.19996157949239352,2.299833421748979e-06,9905.633333333333,979.920668264505,10094.366666666667,979.920668264505,0.18590244791066665,0.012361372666758526,0.23388618749999995,0.004142232589483261,10094.366666666667,979.920668264505,9905.633333333333,0.03013306666666667,0.0013553500000000002,0.03148841666666667,2018.9741128005514
Criteo Attribution,5.0,100.0,Cook's-filtered,-13.070665351096341,3.6746123208186163,0.19996157949239352,2.299833421748979e-06,9905.633333333333,979.920668264505,10094.366666666667,979.920668264505,0.18590244791066665,0.012361372666758526,0.31184825000000005,0.00552297678597768,10094.366666666667,979.920668264505,9905.633333333333,0.03013306666666667,0.0013553500000000002,0.03148841666666667,2018.9741128005514
Criteo Attribution,5.0,10.0,Random-filtered,0.0856979586625319,0.13439771030912076,0.19994361124484378,2.8899500649728796e-07,2000.0,0.0,10213.2,796.8607545041765,0.031184824999999996,0.0005522976785977677,0.031184824999999996,0.0005522976785977677,10213.2,796.8607545041765,9786.8,0.0,0.0,0.0,0.0
Criteo Attribution,5.0,25.0,Random-filtered,0.27650396586930254,0.1908189954277387,0.19994364167079184,4.294934124504855e-07,5000.0,0.0,10213.2,796.8607545041765,0.07796206250000001,0.00138074419649442,0.07796206250000001,0.00138074419649442,10213.2,796.8607545041765,9786.8,0.0,0.0,0.0,0.0
Criteo Attribution,5.0,50.0,Random-filtered,0.48205987422077834,0.13176454718986652,0.19994362711377595,4.81170985069025e-07,9540.066666666668,439.3773755678819,10213.2,796.8607545041765,0.1487248005938334,0.006760003848215568,0.15592412500000002,0.00276148839298884,10213.2,796.8607545041765,9786.8,0.0,0.0,0.0,0.0
Criteo Attribution,5.0,75.0,Random-filtered,0.49842461490972234,0.12837676843422263,0.199943630098661,4.6990860664774005e-07,9786.8,796.8607545041765,10213.2,796.8607545041765,0.15259089086000002,0.012746246264389069,0.23388618749999995,0.004142232589483261,10213.2,796.8607545041765,9786.8,0.0,0.0,0.0,0.0
Criteo Attribution,5.0,100.0,Random-filtered,0.49842461490972234,0.12837676843422263,0.199943630098661,4.6990860664774005e-07,9786.8,796.8607545041765,10213.2,796.8607545041765,0.15259089086000002,0.012746246264389069,0.31184825000000005,0.00552297678597768,10213.2,796.8607545041765,9786.8,0.0,0.0,0.0,0.0
