dataset,budget_pct,method,scoring_completion_rate,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,score_sec_mean,sort_sec_mean,priority_total_sec_mean,average_unlearn_sec_mean
Criteo Attribution,10.0,SIS,0.9666666666666667,-0.35605116369145673,0.316017844181155,0.19994355249837892,1.0295962180216497e-07,50.2,25.871566072321226,0.0029867893333333324,5.517297970198272e-05,0.002979156278333333,5.520084200496577e-05,0.0021449066666666666,9.406e-05,0.0022389666666666674,1.4933946666666668e-05
Criteo Attribution,25.0,SIS,1.0,-1.0568271802218072,0.5990633104900982,0.1999448896735078,2.0685365586821483e-07,349.9,26.517853452422163,0.007466973333333335,0.00013793244925495676,0.007458935265000002,0.00013710946373222783,0.0021449066666666666,9.406e-05,0.0022389666666666674,1.4933946666666668e-05
Criteo Attribution,50.0,SIS,1.0,-0.2839962967800021,0.4414775592034206,0.19994577419686635,2.1038955749357258e-07,849.9,26.517853452422163,0.01493394666666667,0.0002758648985099135,0.014925908598333334,0.00027501361599341275,0.0021449066666666666,9.406e-05,0.0022389666666666674,1.4933946666666668e-05
Criteo Attribution,75.0,SIS,1.0,0.2968138994706128,0.24919880269196498,0.19994477019580653,2.506333458174212e-07,1349.9,26.517853452422163,0.02240092,0.00041379734776487054,0.022392881931666664,0.00041293667072996574,0.0021449066666666666,9.406e-05,0.0022389666666666674,1.4933946666666668e-05
Criteo Attribution,100.0,SIS,1.0,0.9666185796955382,0.01938699668573118,0.19994398976373293,2.68670640325986e-07,1849.9,26.517853452422163,0.02986789333333334,0.000551729797019827,0.029859855264999995,0.000550864429964639,0.0021449066666666666,9.406e-05,0.0022389666666666674,1.4933946666666668e-05
Criteo Attribution,10.0,Cook's,1.0,-0.06878536778034364,0.14323683985262067,0.19994375438752604,1.360350938720593e-07,55.96666666666667,20.337638511633674,0.0029867893333333324,5.517297970198272e-05,0.0029801949183333332,5.5506602376397244e-05,0.0020580900000000003,8.997666666666666e-05,0.0021480666666666673,1.4933946666666668e-05
Criteo Attribution,25.0,Cook's,1.0,-1.12015571689343,0.5868615809482041,0.1999450859855929,1.5977094371944468e-07,355.96666666666664,20.337638511633674,0.007466973333333335,0.00013793244925495676,0.007460378918333335,0.0001381561576674883,0.0020580900000000003,8.997666666666666e-05,0.0021480666666666673,1.4933946666666668e-05
Criteo Attribution,50.0,Cook's,1.0,-0.5435160102569315,0.539570148476731,0.1999456814281557,2.3345769257228412e-07,855.9666666666667,20.337638511633667,0.01493394666666667,0.0002758648985099135,0.014927352251666668,0.00027605181116990564,0.0020580900000000003,8.997666666666666e-05,0.0021480666666666673,1.4933946666666668e-05
Criteo Attribution,75.0,Cook's,1.0,0.2933414271051671,0.25402131267690486,0.19994464684220606,2.4671664230039115e-07,1355.9666666666667,20.337638511633667,0.02240092,0.00041379734776487054,0.022394325584999996,0.00041397198228125206,0.0020580900000000003,8.997666666666666e-05,0.0021480666666666673,1.4933946666666668e-05
Criteo Attribution,100.0,Cook's,1.0,0.9678333410295897,0.01769882430323289,0.1999439682661877,2.7091653830140956e-07,1855.9666666666667,20.337638511633667,0.02986789333333334,0.000551729797019827,0.029861298918333338,0.0005518982903511254,0.0020580900000000003,8.997666666666666e-05,0.0021480666666666673,1.4933946666666668e-05
Criteo Attribution,10.0,Leverage,1.0,0.17073936962364952,0.10792972412474791,0.19994359013866722,7.077018318209479e-08,98.53333333333333,14.23142063651178,0.0029867893333333324,5.517297970198272e-05,0.0029787998716666667,5.497075020298278e-05,0.001409366666666667,0.00010043666666666665,0.0015098033333333335,1.4933946666666668e-05
Criteo Attribution,25.0,Leverage,1.0,0.32567704457555513,0.1221530962862205,0.1999436103647204,1.3400067300997745e-07,398.53333333333336,14.231420636511782,0.007466973333333335,0.00013793244925495676,0.007458983871666666,0.00013766514272179868,0.001409366666666667,0.00010043666666666665,0.0015098033333333335,1.4933946666666668e-05
Criteo Attribution,50.0,Leverage,1.0,0.5581947873299252,0.12903449321258936,0.19994369694644534,1.9453286787921576e-07,898.5333333333333,14.231420636511782,0.01493394666666667,0.0002758648985099135,0.014925957205000001,0.000275575970137319,0.001409366666666667,0.00010043666666666665,0.0015098033333333335,1.4933946666666668e-05
Criteo Attribution,75.0,Leverage,1.0,0.8347409496640684,0.10372324681859914,0.19994378021371823,2.571493363932248e-07,1398.5333333333333,14.231420636511782,0.02240092,0.00041379734776487054,0.02239293053833333,0.0004135012215563314,0.001409366666666667,0.00010043666666666665,0.0015098033333333335,1.4933946666666668e-05
Criteo Attribution,100.0,Leverage,1.0,0.9758387807845376,0.014853016125747413,0.19994393690491974,2.730220275956765e-07,1898.5333333333333,14.231420636511782,0.02986789333333334,0.000551729797019827,0.029859903871666673,0.0005514300737672682,0.001409366666666667,0.00010043666666666665,0.0015098033333333335,1.4933946666666668e-05
Criteo Attribution,10.0,Residual,1.0,-0.3974462038315073,0.2790307112521274,0.1999441806758314,1.4509002899933175e-07,114.26666666666667,14.024444996906807,0.0029867893333333324,5.517297970198272e-05,0.002980438180000001,5.483244883216663e-05,0.0011868866666666668,8.924666666666666e-05,0.0012761333333333334,1.4933946666666668e-05
Criteo Attribution,25.0,Residual,1.0,-1.0513968785883367,0.6552012923863167,0.1999456323213824,1.781226786544414e-07,414.26666666666665,14.024444996906809,0.007466973333333335,0.00013793244925495676,0.007460622180000001,0.00013749172509305103,0.0011868866666666668,8.924666666666666e-05,0.0012761333333333334,1.4933946666666668e-05
Criteo Attribution,50.0,Residual,1.0,-0.6163875954001211,0.5514345004130247,0.19994560035331696,2.2349512299266022e-07,914.2666666666667,14.024444996906809,0.01493394666666667,0.0002758648985099135,0.014927595513333333,0.00027539095797532816,0.0011868866666666668,8.924666666666666e-05,0.0012761333333333334,1.4933946666666668e-05
Criteo Attribution,75.0,Residual,1.0,0.3371766159222858,0.23469775734342996,0.19994450795167976,2.4697397582218387e-07,1414.2666666666667,14.024444996906809,0.02240092,0.00041379734776487054,0.02239456884666667,0.00041331235901557176,0.0011868866666666668,8.924666666666666e-05,0.0012761333333333334,1.4933946666666668e-05
Criteo Attribution,100.0,Residual,1.0,0.9906620559947951,0.006322524228848719,0.1999439300191935,2.6891085931132207e-07,1914.2666666666667,14.024444996906809,0.02986789333333334,0.000551729797019827,0.02986154218,0.0005512392888849697,0.0011868866666666668,8.924666666666666e-05,0.0012761333333333334,1.4933946666666668e-05
Criteo Attribution,10.0,Random,1.0,0.0912801042525784,0.18316054030978582,0.19994356768289626,1.300440679389661e-07,200.0,0.0,0.0029867893333333324,5.517297970198272e-05,0.0029867893333333324,5.517297970198272e-05,0.0,0.0,0.0,1.4933946666666668e-05
Criteo Attribution,25.0,Random,1.0,0.2308339408304245,0.2151141592233887,0.1999436329279843,1.8304190844155099e-07,500.0,0.0,0.007466973333333335,0.00013793244925495676,0.007466973333333335,0.00013793244925495676,0.0,0.0,0.0,1.4933946666666668e-05
Criteo Attribution,50.0,Random,1.0,0.4689078234620155,0.19271019054836977,0.19994375635075629,1.9144465701147002e-07,1000.0,0.0,0.01493394666666667,0.0002758648985099135,0.01493394666666667,0.0002758648985099135,0.0,0.0,0.0,1.4933946666666668e-05
Criteo Attribution,75.0,Random,1.0,0.7309038386367547,0.1415742865662575,0.19994378168310475,2.1932949652784607e-07,1500.0,0.0,0.02240092,0.00041379734776487054,0.02240092,0.00041379734776487054,0.0,0.0,0.0,1.4933946666666668e-05
Criteo Attribution,100.0,Random,1.0,1.0,0.0,0.19994390398295012,2.6626956383657e-07,2000.0,0.0,0.02986789333333334,0.000551729797019827,0.02986789333333334,0.000551729797019827,0.0,0.0,0.0,1.4933946666666668e-05
