dataset,budget_pct,method,scoring_completion_rate,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,score_sec_mean,sort_sec_mean,priority_total_sec_mean,average_unlearn_sec_mean
Criteo Attribution,10.0,SIS,1.0,0.015417069733555904,0.1701978204202502,0.1999435318473579,1.3171193090859995e-08,1.0,0.3713906763541037,9.580333333333334e-05,1.5292624621564863e-06,8.343683333333335e-05,5.3865809454243974e-06,6.412666666666668e-05,3.2999999999999993e-06,6.742666666666667e-05,1.5967222222222223e-05
Criteo Attribution,25.0,SIS,1.0,0.3002455629442572,0.23769667082558263,0.1999435766325575,3.785000293512402e-08,10.0,0.3713906763541037,0.00023950833333333328,3.823156155391221e-06,0.00022714183333333331,7.151294973559027e-06,6.412666666666668e-05,3.2999999999999993e-06,6.742666666666667e-05,1.5967222222222223e-05
Criteo Attribution,50.0,SIS,1.0,0.7264064281193074,0.09715696026884925,0.19994361634978033,4.439832263431642e-08,25.0,0.3713906763541037,0.00047901666666666656,7.646312310782442e-06,0.0004666501666666668,1.0554796655669344e-05,6.412666666666668e-05,3.2999999999999993e-06,6.742666666666667e-05,1.5967222222222223e-05
Criteo Attribution,75.0,SIS,1.0,0.9116402473807285,0.03344628679109238,0.1999435957765175,5.153530213680853e-08,40.0,0.3713906763541037,0.000718525,1.146946846617366e-05,0.0007061584999999998,1.4173901758627308e-05,6.412666666666668e-05,3.2999999999999993e-06,6.742666666666667e-05,1.5967222222222223e-05
Criteo Attribution,100.0,SIS,1.0,0.9946377098919081,0.0024510732999170294,0.19994356854307435,5.078779896245834e-08,55.0,0.3713906763541037,0.0009580333333333331,1.5292624621564885e-05,0.0009456668333333337,1.7878151349088627e-05,6.412666666666668e-05,3.2999999999999993e-06,6.742666666666667e-05,1.5967222222222223e-05
Criteo Attribution,10.0,Cook's,1.0,0.061450286170775296,0.16083550852305145,0.19994353595574418,1.4797727020625985e-08,1.7333333333333334,0.639683829949492,9.580333333333334e-05,1.5292624621564863e-06,9.171750000000001e-05,3.52573882233143e-06,6.073e-05,3.2933333333333324e-06,6.402333333333333e-05,1.5967222222222223e-05
Criteo Attribution,25.0,Cook's,1.0,0.31628658206509047,0.18397296215560313,0.1999435841012831,3.351713126162346e-08,10.733333333333333,0.639683829949492,0.00023950833333333328,3.823156155391221e-06,0.0002354225,4.63813797751506e-06,6.073e-05,3.2933333333333324e-06,6.402333333333333e-05,1.5967222222222223e-05
Criteo Attribution,50.0,Cook's,1.0,0.6930868987774779,0.11584619273179556,0.1999436142499112,4.9333439115072066e-08,25.733333333333334,0.6396838299494919,0.00047901666666666656,7.646312310782442e-06,0.0004749308333333332,7.748198291992184e-06,6.073e-05,3.2933333333333324e-06,6.402333333333333e-05,1.5967222222222223e-05
Criteo Attribution,75.0,Cook's,1.0,0.9222961657603539,0.027388023347850392,0.1999435909855683,5.1485256670146e-08,40.733333333333334,0.6396838299494919,0.000718525,1.146946846617366e-05,0.0007144391666666667,1.1304418411515278e-05,6.073e-05,3.2933333333333324e-06,6.402333333333333e-05,1.5967222222222223e-05
Criteo Attribution,100.0,Cook's,1.0,0.9958000451759866,0.0027991594965394288,0.19994356781248118,5.169959412329015e-08,55.733333333333334,0.6396838299494919,0.0009580333333333331,1.5292624621564885e-05,0.0009539475000000001,1.4992605525731388e-05,6.073e-05,3.2933333333333324e-06,6.402333333333333e-05,1.5967222222222223e-05
Criteo Attribution,10.0,Leverage,1.0,0.042913240998951524,0.1420092296623504,0.19994352965239948,1.5675711949847403e-08,2.933333333333333,0.2537081317024624,9.580333333333334e-05,1.5292624621564863e-06,8.393433333333335e-05,2.3735505599283963e-06,3.386666666666667e-05,3.2266666666666665e-06,3.709333333333334e-05,1.5967222222222223e-05
