dataset,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,sis_score_sec_mean,sis_sort_sec_mean,average_unlearn_sec_mean
synthetic,10.0,SIS,0.25283516528611033,0.08572750564399818,13.503961939735257,0.4083420350190921,0.9,0.30512857662936466,0.00010376700000000001,1.3757233833827924e-06,0.00010104994152046785,1.6534104417678364e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,25.0,SIS,0.7527816046545734,0.009671192102660845,13.239825343993413,0.15309325873995144,8.933333333333334,0.2537081317024625,0.00025941749999999997,3.439308458456987e-06,0.000247333918128655,5.334784212443412e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,50.0,SIS,0.934171838800156,0.0029415380950483807,13.033566158670824,0.3144390371183529,23.0,0.2626128657194451,0.0005188349999999999,6.878616916913974e-06,0.0005034158479532164,9.648754208252394e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,75.0,SIS,0.9546264149662901,0.0018250138212717502,12.701446216854618,0.10154754806226018,37.86666666666667,0.43417248545530485,0.0007782525000000002,1.0317925375370951e-05,0.0007740116374269008,8.569092843345168e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,100.0,SIS,0.9999898520413804,7.690865523908245e-06,10.423767320608523,0.07266593370661618,51.9,0.3051285766293646,0.0010376699999999999,1.3757233833827947e-05,0.0010294915204678364,1.2356608356217773e-05,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,10.0,FIFO,0.04236553189965968,0.12515795988946274,14.683319626411611,0.8476101699515801,5.0,0.0,0.00010376700000000001,1.3757233833827924e-06,9.102368421052633e-05,1.206774897704204e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,25.0,FIFO,0.1341310922133448,0.1849513282776499,14.481286945863884,1.717389243914667,14.0,0.0,0.00025941749999999997,3.439308458456987e-06,0.00025486631578947375,3.3789697135717675e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,50.0,FIFO,0.2416642848846663,0.2541385502956481,14.704298319106718,2.1919045632894267,28.0,0.0,0.0005188349999999999,6.878616916913974e-06,0.0005097326315789475,6.757939427143535e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,75.0,FIFO,0.5061222065614313,0.30227013242934636,14.001863333062444,2.90931972388563,42.0,0.0,0.0007782525000000002,1.0317925375370951e-05,0.0007645989473684209,1.0136909140715316e-05,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,100.0,FIFO,1.0,0.0,10.439583540444179,0.07320024255307384,57.0,0.0,0.0010376699999999999,1.3757233833827947e-05,0.0010376699999999999,1.3757233833827947e-05,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,10.0,Random,0.07249768265340763,0.15852920429224762,14.376290168277354,0.9505204856958146,5.0,0.0,0.00010376700000000001,1.3757233833827924e-06,9.102368421052633e-05,1.206774897704204e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,25.0,Random,0.19849274518443435,0.22051610520886578,14.183553315890101,1.647600450309221,14.0,0.0,0.00025941749999999997,3.439308458456987e-06,0.00025486631578947375,3.3789697135717675e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,50.0,Random,0.3820572291477726,0.2793595123452965,13.512071365061498,2.829623835914642,28.0,0.0,0.0005188349999999999,6.878616916913974e-06,0.0005097326315789475,6.757939427143535e-06,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,75.0,Random,0.5934957997220696,0.28340016318064154,13.01126064476651,2.945787058035373,42.0,0.0,0.0007782525000000002,1.0317925375370951e-05,0.0007645989473684209,1.0136909140715316e-05,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
synthetic,100.0,Random,1.0,0.0,10.439583540444183,0.07320024255295772,57.0,0.0,0.0010376699999999999,1.3757233833827947e-05,0.0010376699999999999,1.3757233833827947e-05,7.991666666666667e-05,4.793333333333333e-06,1.8204736842105262e-05
diabetes,10.0,SIS,0.19317934318090163,0.582168321259687,0.5249987894173009,0.0026504872930551474,0.9666666666666667,0.31984191497474596,0.00011115933333333335,7.41654810185483e-06,0.00010504961111111113,6.2737084531740736e-06,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,25.0,SIS,0.5200653907047282,0.4075446178450059,0.526599120157176,0.005864714211567923,9.933333333333334,0.44977644510880344,0.0002778983333333334,1.854137025463707e-05,0.000271147,1.6441135807125745e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,50.0,SIS,0.8157779047724535,0.1771919918731221,0.5296920620878547,0.008630288468393576,24.933333333333334,0.44977644510880344,0.0005557966666666668,3.708274050927414e-05,0.0005490453333333332,3.485223614697405e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,75.0,SIS,0.9649284182564885,0.030601397289712725,0.5285403419066012,0.009201320967211771,39.93333333333333,0.4497764451088035,0.0008336950000000001,5.56241107639112e-05,0.0008269436666666667,5.335363721527913e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
